Year,Country,GDP_pc,Population,polity2,GDP_USD,Trade,Log_GDP_pc,Colonised,Colonial_period,Post_colonial,Interaction_Colonial,Interaction_Post,Institutions,Log_Population
2011,Thailand,13318.0,65912.39556,7.0,370818739623.622,0.0,9.496871782670567,0,0,1,0,0,7.0,11.09608179931253
2012,Myanmar,4124.0,51368.8763,-3.0,59937796648.2158,0.0,8.32457884513685,1,0,1,0,1,-3.0,10.84678774858706
2012,Thailand,14227.0,66166.53375,7.0,397558325278.579,0.0,9.562896846651167,0,0,1,0,0,7.0,11.099930081623134
2013,Myanmar,4424.0,51878.87531,-3.0,60269732854.827,0.0,8.39479954320217,1,0,1,0,1,-3.0,10.856666959513822
2013,Thailand,14562.0,66414.24573,7.0,420333654592.5471,0.0,9.586170674954657,0,0,1,0,0,7.0,11.103666856579732
2014,Myanmar,4728.0,52375.08813,-3.0,65531374210.3224,0.0,8.461257559085935,1,0,1,0,1,-3.0,10.866186339896053
2014,Thailand,14642.0,66654.57705,-3.0,407339040197.6511,0.0,9.591649390206587,0,0,1,0,0,-3.0,11.107278996167208
2015,Myanmar,5021.0,52900.8773,-3.0,59607290408.43591,0.0,8.521384396034705,1,0,1,0,1,-3.0,10.87617520182986
2015,Thailand,15020.0,66885.81071,-3.0,401296238228.084,0.0,9.617137925318126,0,0,1,0,0,-3.0,11.110742126610104
2016,Myanmar,5284.0,53416.31411,8.0,63298361983.56529,0.0,8.572438665642215,1,0,1,0,1,8.0,10.88587148596822
2016,Thailand,15454.0,67106.6292,-3.0,413366349747.508,0.0,9.645623148493529,0,0,1,0,0,-3.0,11.114038113906911
2017,Myanmar,5536.4261,53912.26678,8.0,66053040475.0257,0.0,8.619104463266185,1,0,1,0,1,8.0,10.895113315048295
2017,Thailand,16032.2158,67316.5179,-3.0,456356813536.764,0.0,9.68235546437284,0,0,1,0,0,-3.0,11.117160922368049
2018,Myanmar,5838.2173,54399.9982,8.0,67860515993.1186,0.0,8.672180772372602,1,0,1,0,1,8.0,10.904119399755798
2018,Thailand,16648.6237,67515.00451,-3.0,506754208404.485,0.0,9.720082831331348,0,0,1,0,0,-3.0,11.120105141195111
2019,Myanmar,5838.2173,54399.9982,8.0,75065106243.35779,0.0,8.672180772372602,1,0,1,0,1,8.0,10.904119399755798
2019,Thailand,16648.6237,67515.00451,-3.0,543976691793.886,0.0,9.720082831331348,0,0,1,0,0,-3.0,11.120105141195111
2020,Myanmar,5838.2173,54399.9982,8.0,79006113670.28311,0.0,8.672180772372602,1,0,1,0,1,8.0,10.904119399755798
2020,Thailand,16648.6237,67515.00451,-3.0,500461898480.246,0.0,9.720082831331348,0,0,1,0,0,-3.0,11.120105141195111
